微博内容,发布者名称,发布时间以及设备,发布者主页
"FoolIdidnotabandonyou;Iwon'tleaveyou.InfactIknow;Itdidn'tworkoutbetweenus.ButIamwilling;Accompanyyoutogoasectionoftheroadwithoutresults.Althoughnotlong;Butenoughformylifetoremember.Ameeting,alifetimetoremember.It'snoneofmybus​展开c",后会无期的小猪,今天16:51 来自沙雕iPhoneXR(白色),https://weibo.com/1585693441?refer_flag=1001030103_
"Ibelievethatifitwerelefttoartiststochoosetheirownlabels,mostwouldchoosenone.如果让艺术家自己给自己贴标签选门派，他们应该什么都不会选——艺术家总是认为自己是独特的​",拾行情书,今天16:50 来自皮皮时光机,https://weibo.com/3037878623?refer_flag=1001030103_
翔霖周边中转站出柚柠茶卡册，炎补偿，翔霖双人单人站周pb，官周站周明信片，书签，方卡，价格在图上，坐标江苏不包U双人站周pb：《今天也想见到你》《有关自由星的日不落》《氤氲》《德国下雪了》《双生》《双向暗恋》《彩虹可尔必思》《16:15》《为你心跳》《山城没有雾二周年Ta​展开c,Eve临渊,今天16:41 来自翔霖周边中转站超话,https://weibo.com/6157650890?refer_flag=1001030103_
#伦敦艺术大学#近日公布2022学年伦敦艺术大学语言班改为全网课模式，13周和9周线下伦敦语言班模式取消。 语言班报名接受的语言考试类型：UKVI类雅思/普通A类雅思；PTE/UKVIPTE；SELTLanguageCertESOL/NoneSELTLanguageCertESOL ；TOEFL；TOEFLHomeSpecialEdition等。#英国留学#​展开c,蓝色调大叔,今天16:40 来自新版微博weibo.com,https://weibo.com/5545792054?refer_flag=1001030103_
Whatotherpeoplethinkofyouisnoneofyourbusiness.-----别人怎么看你，管你什么事？​,我叫武婷婷啊,今天16:32 来自皮皮时光机,https://weibo.com/3870689402?refer_flag=1001030103_
#babechaelle#“IamnoneofthethingsthatyousaidIam.”🥀——rosé朴彩英​,Babechaelle,今天16:25 来自babechaelle超话,https://weibo.com/7527939202?refer_flag=1001030103_
微博内容,发布者名称,发布时间以及设备,发布者主页
微博内容,发布者名称,发布时间以及设备,发布者主页
微博内容,发布者名称,发布时间以及设备,发布者主页
WhatIwearisreallynoneofyourbusinessMyhairismineMybodyismineMysoulismineWearwhateverEatwhateverDowhateverLivehoweverBewhoyouwannabeYoucanbewhoever！卡西恩Cacien《DOWHATEVER(想做就做)》KDOWHATEVER(想做就做)（@网易云音乐）​,高桥奈奈,今天15:14 来自贝壳酱的iPhone客户端,https://weibo.com/1763641672?refer_flag=1001030103_
既然大家都在激起我的好胜心，那我也要开始拒绝躺平了。当然，卷自己，不卷别人，别人noneofmybusiness，看看自己究竟能掏出什么东西来​,Knew75,今天14:56 来自微博国际版,https://weibo.com/6600786990?refer_flag=1001030103_
我做了一个梦梦见一群小孩跳舞梦见自己去中学背英语单词梦见大家开英语演唱会刚刚去移坟回来一路开山辟路，想想红军长征过草地，想想野人山，很不容易累死了，所以回来倒头就睡做梦的时候，梦见了好几个好故事所谓梦里气壮山河要是都写成小说该多么好的事情啊???推荐一本比较写实的金融史​展开c,浙南小猪,今天14:41 来自新版微博weibo.com,https://weibo.com/5985234681?refer_flag=1001030103_
Whatotherpeoplethinkofyouisnoneofyourbusiness.Trustthefeelingmorethanthewords.-----别人怎么看你，和你毫无关系。更多的相信自己的感觉，而非别人的言语。​,挂在天边的Rainbow,今天14:14 来自皮皮时光机,https://weibo.com/2752890480?refer_flag=1001030103_
"圣诞树的代码（python）：fromturtleimport*importtimesetup(500,500,startx=None,starty=None)speed(0)pencolor(""pink"")pensize(10)penup()hideturtle()goto(0,150)showturtle()pendown()shape(name=""classic"")#1seth(-120)foriinrange(10):fd(12)right(2)pen​展开c",一些热烈,今天13:33 来自vivoY52s(t1版),https://weibo.com/7565613347?refer_flag=1001030103_
今天上政治课，我偷偷进入了课堂，没改备注。忽然被政治老师点了名。“哎！那个none是谁啊！你抓紧时间告诉我是谁，或者去改备注，不然我就把你请出去！”“韩老师，是我。”“你谁啊！”“张文磊。”“哦！小张啊！来看你学生啦！”我承认我被政治老师吓到了，我的学生们都在憋笑呜呜呜呜！​,哈哈学博士生,今天12:39 来自iPhone12,https://weibo.com/7500439989?refer_flag=1001030103_
"Peoplehatewhattheydon’tunderstand.Betheirhero,Clark.Betheirangel,betheirmonument,beanythingtheyneedyoutobe.Orbenoneofit.Youdon’towethisworldathing.Youneverdid.​查看图片//@荷兰豆本豆豆荷:谁来还我评论配图",Phabulous,今天12:30 来自iPhone客户端,https://weibo.com/6081189322?refer_flag=1001030103_
Chancellor/朴宰范/李遐怡/BIBI/JAMIE/MOON/Bumkey/SamuelSeo/Suran/Babylon/Hoody/SUMIN/MRSHLL/AnnOne/ELO/twlv/oceanfromtheblue/Jiselle/SOLE/THAMA/K.vsh/Jinbo/jerd/Soovi/B.E.D./Xydo/OwellMood/NONE《AUTOMATICREMIX》KAUTOMATICREMIX（@网易云音乐）​,GenerationUm,今天11:57 来自iPhone客户端,https://weibo.com/6567065823?refer_flag=1001030103_
KianaLedé《NoneForYou.(Explicit)》KNoneForYou.@QQ音乐『向全世界安利』​,超大的大鲸鱼,今天10:31 来自iPhone客户端,https://weibo.com/5152781474?refer_flag=1001030103_
"dpkg--add-architecturearmhfapt-getupdate(ignorethemissingx386packagesandhopeforthebest)apt-getinstalllibc6:armhflibstdc++6:armhfcd/libln-s/lib/ld-linux-armhf.so.3/lib/ld-linux.so.3来自于fileSoftBusDumpDeviceInfointerpreter/lib/ld-musl-arm.so.1,cat​展开c",chairwa,今天10:12 来自新版微博weibo.com,https://weibo.com/1495109022?refer_flag=1001030103_
愉快的下雨天☔️分享单曲：NoneForYou.KNoneForYou.（分享自@网易云音乐）​,随手关灯zero,今天09:57 来自分享按钮,https://weibo.com/6618435258?refer_flag=1001030103_
狗子的世界。O网页链接【任泉女友黄琦雯师从李双江被称内地版梅艳芳(图片)-(none)图库-搜狐】O网页链接$%7BpicGroup.paths%7D/group-200668.shtml@别人家的那点事​,Dr-RoseMary怡,今天09:28,https://weibo.com/1801483081?refer_flag=1001030103_
"Youmeetthousandsofpeople,butnoneofthemreallytouchyou,andthenyoumeetoneperson,andyourlifeischangedforever.~~~你会遇到成千上万个人，却没人能触动你心。然后你遇到一个人，生命便从此而不再相同。​",托离释俗,今天04:15 来自皮皮时光机,https://weibo.com/3024744854?refer_flag=1001030103_
"月牙儿时评：乌克兰就像teacher'spet，UN喜欢她支持她；俄罗斯就像有angerissue的同学；中国是那个“noneofmybusiness,leavemealone”的学生；加拿大就是那种其实挺weak的，但一定要说话表达立场的同学；美国就是那个看见别人打架，要在旁边“大喊打架啦打架啊，踢他肚子，打他下巴”的那种同​展开c",Huyunzhu,今天04:07 来自新版微博weibo.com,https://weibo.com/1070172815?refer_flag=1001030103_
《穿条纹睡衣的男孩》whocommittedacrime？nonetheyjustknowtheywerefriendeachother.atoneforone’scrime，goddameit.Imakeatonementeveryday​,Hhhlooa,今天03:48 来自iPhone客户端,https://weibo.com/6238364769?refer_flag=1001030103_
好渣男啊哈哈哈哈哈ihavelovedmanywomenandmen，butilovenonebetterthanu​,城南洛风,今天02:34 来自iPhone客户端,https://weibo.com/5462853808?refer_flag=1001030103_
#小佩假期看电影#不是假期，开学第二周🎥《模仿游戏》🎞️很有意义的一部真人真事改编电影。像电脑之父-图灵致敬，那一生，您辛苦了。🎬None.​,好燃的叶子,今天02:32 来自华为手机,https://weibo.com/6134686261?refer_flag=1001030103_
不要想啦不是什么大事啦不要影响我的好心情Justnoneofmybusiness无理取闹的公主病书毕getoutofmyplace🥴​,不冻港的神明,今天01:21 来自微博国际版,https://weibo.com/7332954272?refer_flag=1001030103_
"Istrovewithnone,fornonewasworthmystrife.NatureIloved,nexttoNature,Art.Iwarmedbothhandsbeforethefireoflife.Itsinks,andIamreadytodepart.waltersavagelandor​",选syu天才赞赞man蹦蹦,今天00:39 来自iPhone客户端,https://weibo.com/6850630647?refer_flag=1001030103_
"超脱电影里的人物几乎都对生活充满了无力感，有的在崩溃，有的在崩溃边缘徘徊，男主像机器，对生活毫无渴望与诉求，心理防线极强，女孩的死亡也无法将他从自我空间里挖掘出来，最终也是以一种无力的，封闭的姿态结束。doublethink（双重思想）it'ssoeasytobecareless,ittakescourageand​展开c",沐木牧慕,03月24日21:46 来自OPPOReno5Pro5G,https://weibo.com/7341343757?refer_flag=1001030103_
@Scarlett_none有被种草到,Cocoppa,31分钟前 来自iPhone客户端,https://weibo.com/1924631890?refer_flag=1001030103_
"@Yona雅思雅思阅读第六天打卡1⃣️TRUE:may,maybe,notalways,not,all,Some,possible,notnécessarily...2⃣️：文小题大选Ture3⃣️：01se：最重要的三个mainlglargely,widelyimpossible,never,alwangs,every,all,none'4⃣️：only表单一时选f5⃣️：数字做考点,选f6⃣️​展开c",NORFE,今天22:04 来自iPadPro,https://weibo.com/2247494505?refer_flag=1001030103_
"力丸さん、お元気ですか?Hi,Riki.Ihopeyoucanseethismessage.Doesyourwaiststillhurt?Ihopeitdoesn'thurtanymore.Recenteventsareallbadpeople'splansandtheirfault.Itsnoneofyourbusiness.You'rethebestinfact.Theyarejealousofyourtalentandexcell​展开c",力秀满私人助理,今天21:49 来自iPhone客户端,https://weibo.com/6595185558?refer_flag=1001030103_
@none先生杯，饭，来,NyzuMELny0,今天21:49 来自微博国际版,https://weibo.com/6986738385?refer_flag=1001030103_
我总是很难及时消化情绪。它们砸向我时我不断地自我欺骗：That'sokay.Idon'tcare.It'snoneofmybusiness.但它们从来都不是真正消失了，而是一点点积攒，直到某一天爆发。能迈过去这一关，就开始下一轮的积攒。迈不过去，就在一直这关消沉。​,一块超顺眼的猪血糕,今天21:33 来自HUAWEIP40Pro5G,https://weibo.com/6599114299?refer_flag=1001030103_
加入html{user-select:none;cursor:pointer;}效果更好查看图片,Tilden冬天,今天20:59 来自一千多的Android,https://weibo.com/7233857177?refer_flag=1001030103_
喜欢一些绝美变线人😍能把线路控制到这个程度可以说我女是secondtonone惹,滞后现象,今天20:41 来自微博国际版,https://weibo.com/5264495711?refer_flag=1001030103_
我在k4买那个芙的签售专，分了三次买，第一次在“选择要使用的聊天软件”里只有None这个选项，第二次有wechat能选（这次付款没成功），第三次又只有None了……第一次搞，不懂​,-綦江雪豹收割機-,今天18:15 来自iPhone12ProMax,https://weibo.com/7564655714?refer_flag=1001030103_
“IamnoneofthethingsthatyousaidIam.”🥀——rosé朴彩英,love-Woogss,今天18:10 来自vivoS7e5G,https://weibo.com/7237811841?refer_flag=1001030103_
看剧中，一男的跟他同事搭话问他私事，那同事看到他过来有些许不耐烦。那男的发问之后，我心中想:我猜那同事下一句台词是:it'snoneofyourbusiness!果然!那同事沉吟几秒后就这么说了，一字不差!​,俺以吃睡为天,今天17:34 来自Android,https://weibo.com/3803328393?refer_flag=1001030103_
LifeislikeaonewaystreetnoneofthemleadsbackSoenjoytherightmomentasnoneofthemwillhappenagain​,你不没却深驻我心,今天17:31 来自iPhone客户端,https://weibo.com/5817659805?refer_flag=1001030103_
我又重新拾起我爱RedVelvet的热情了，就像八年前一样。NameaGirlGroupsBetterThanRVinThisNewGeneration?None!​,SugahDaddy,今天17:16 来自小米11,https://weibo.com/5422696113?refer_flag=1001030103_
 #伦敦艺术大学#语言班报名接受的语言考试类型：UKVI类雅思/普通A类雅思；PTE/UKVIPTE；SELTLanguageCertESOL/NoneSELTLanguageCertESOL ；TOEFL；TOEFLHomeSpecialEdition等。#雅思##英国留学#​,吃肉开心,今天17:00 来自新版微博weibo.com,https://weibo.com/7242448982?refer_flag=1001030103_
noneso​,Shin_ONG,今天16:51 来自OPPOFindX2Pro,https://weibo.com/5279353815?refer_flag=1001030103_
"FoolIdidnotabandonyou;Iwon'tleaveyou.InfactIknow;Itdidn'tworkoutbetweenus.ButIamwilling;Accompanyyoutogoasectionoftheroadwithoutresults.Althoughnotlong;Butenoughformylifetoremember.Ameeting,alifetimetoremember.It'snoneofmybus​展开c",后会无期的小猪,今天16:51 来自沙雕iPhoneXR(白色),https://weibo.com/1585693441?refer_flag=1001030103_
"Ibelievethatifitwerelefttoartiststochoosetheirownlabels,mostwouldchoosenone.如果让艺术家自己给自己贴标签选门派，他们应该什么都不会选——艺术家总是认为自己是独特的​",拾行情书,今天16:50 来自皮皮时光机,https://weibo.com/3037878623?refer_flag=1001030103_
翔霖周边中转站出柚柠茶卡册，炎补偿，翔霖双人单人站周pb，官周站周明信片，书签，方卡，价格在图上，坐标江苏不包U双人站周pb：《今天也想见到你》《有关自由星的日不落》《氤氲》《德国下雪了》《双生》《双向暗恋》《彩虹可尔必思》《16:15》《为你心跳》《山城没有雾二周年Ta​展开c,Eve临渊,今天16:41 来自翔霖周边中转站超话,https://weibo.com/6157650890?refer_flag=1001030103_
#伦敦艺术大学#近日公布2022学年伦敦艺术大学语言班改为全网课模式，13周和9周线下伦敦语言班模式取消。 语言班报名接受的语言考试类型：UKVI类雅思/普通A类雅思；PTE/UKVIPTE；SELTLanguageCertESOL/NoneSELTLanguageCertESOL ；TOEFL；TOEFLHomeSpecialEdition等。#英国留学#​展开c,蓝色调大叔,今天16:40 来自新版微博weibo.com,https://weibo.com/5545792054?refer_flag=1001030103_
Whatotherpeoplethinkofyouisnoneofyourbusiness.-----别人怎么看你，管你什么事？​,我叫武婷婷啊,今天16:32 来自皮皮时光机,https://weibo.com/3870689402?refer_flag=1001030103_
#babechaelle#“IamnoneofthethingsthatyousaidIam.”🥀——rosé朴彩英​,Babechaelle,今天16:25 来自babechaelle超话,https://weibo.com/7527939202?refer_flag=1001030103_
@Scarlett_none有被种草到,Cocoppa,31分钟前 来自iPhone客户端,https://weibo.com/1924631890?refer_flag=1001030103_
"@Yona雅思雅思阅读第六天打卡1⃣️TRUE:may,maybe,notalways,not,all,Some,possible,notnécessarily...2⃣️：文小题大选Ture3⃣️：01se：最重要的三个mainlglargely,widelyimpossible,never,alwangs,every,all,none'4⃣️：only表单一时选f5⃣️：数字做考点,选f6⃣️​展开c",NORFE,今天22:04 来自iPadPro,https://weibo.com/2247494505?refer_flag=1001030103_
"力丸さん、お元気ですか?Hi,Riki.Ihopeyoucanseethismessage.Doesyourwaiststillhurt?Ihopeitdoesn'thurtanymore.Recenteventsareallbadpeople'splansandtheirfault.Itsnoneofyourbusiness.You'rethebestinfact.Theyarejealousofyourtalentandexcell​展开c",力秀满私人助理,今天21:49 来自iPhone客户端,https://weibo.com/6595185558?refer_flag=1001030103_
@none先生杯，饭，来,NyzuMELny0,今天21:49 来自微博国际版,https://weibo.com/6986738385?refer_flag=1001030103_
我总是很难及时消化情绪。它们砸向我时我不断地自我欺骗：That'sokay.Idon'tcare.It'snoneofmybusiness.但它们从来都不是真正消失了，而是一点点积攒，直到某一天爆发。能迈过去这一关，就开始下一轮的积攒。迈不过去，就在一直这关消沉。​,一块超顺眼的猪血糕,今天21:33 来自HUAWEIP40Pro5G,https://weibo.com/6599114299?refer_flag=1001030103_
加入html{user-select:none;cursor:pointer;}效果更好查看图片,Tilden冬天,今天20:59 来自一千多的Android,https://weibo.com/7233857177?refer_flag=1001030103_
喜欢一些绝美变线人😍能把线路控制到这个程度可以说我女是secondtonone惹,滞后现象,今天20:41 来自微博国际版,https://weibo.com/5264495711?refer_flag=1001030103_
我在k4买那个芙的签售专，分了三次买，第一次在“选择要使用的聊天软件”里只有None这个选项，第二次有wechat能选（这次付款没成功），第三次又只有None了……第一次搞，不懂​,-綦江雪豹收割機-,今天18:15 来自iPhone12ProMax,https://weibo.com/7564655714?refer_flag=1001030103_
“IamnoneofthethingsthatyousaidIam.”🥀——rosé朴彩英,love-Woogss,今天18:10 来自vivoS7e5G,https://weibo.com/7237811841?refer_flag=1001030103_
看剧中，一男的跟他同事搭话问他私事，那同事看到他过来有些许不耐烦。那男的发问之后，我心中想:我猜那同事下一句台词是:it'snoneofyourbusiness!果然!那同事沉吟几秒后就这么说了，一字不差!​,俺以吃睡为天,今天17:34 来自Android,https://weibo.com/3803328393?refer_flag=1001030103_
LifeislikeaonewaystreetnoneofthemleadsbackSoenjoytherightmomentasnoneofthemwillhappenagain​,你不没却深驻我心,今天17:31 来自iPhone客户端,https://weibo.com/5817659805?refer_flag=1001030103_
我又重新拾起我爱RedVelvet的热情了，就像八年前一样。NameaGirlGroupsBetterThanRVinThisNewGeneration?None!​,SugahDaddy,今天17:16 来自小米11,https://weibo.com/5422696113?refer_flag=1001030103_
 #伦敦艺术大学#语言班报名接受的语言考试类型：UKVI类雅思/普通A类雅思；PTE/UKVIPTE；SELTLanguageCertESOL/NoneSELTLanguageCertESOL ；TOEFL；TOEFLHomeSpecialEdition等。#雅思##英国留学#​,吃肉开心,今天17:00 来自新版微博weibo.com,https://weibo.com/7242448982?refer_flag=1001030103_
noneso​,Shin_ONG,今天16:51 来自OPPOFindX2Pro,https://weibo.com/5279353815?refer_flag=1001030103_
"FoolIdidnotabandonyou;Iwon'tleaveyou.InfactIknow;Itdidn'tworkoutbetweenus.ButIamwilling;Accompanyyoutogoasectionoftheroadwithoutresults.Althoughnotlong;Butenoughformylifetoremember.Ameeting,alifetimetoremember.It'snoneofmybus​展开c",后会无期的小猪,今天16:51 来自沙雕iPhoneXR(白色),https://weibo.com/1585693441?refer_flag=1001030103_
"Ibelievethatifitwerelefttoartiststochoosetheirownlabels,mostwouldchoosenone.如果让艺术家自己给自己贴标签选门派，他们应该什么都不会选——艺术家总是认为自己是独特的​",拾行情书,今天16:50 来自皮皮时光机,https://weibo.com/3037878623?refer_flag=1001030103_
翔霖周边中转站出柚柠茶卡册，炎补偿，翔霖双人单人站周pb，官周站周明信片，书签，方卡，价格在图上，坐标江苏不包U双人站周pb：《今天也想见到你》《有关自由星的日不落》《氤氲》《德国下雪了》《双生》《双向暗恋》《彩虹可尔必思》《16:15》《为你心跳》《山城没有雾二周年Ta​展开c,Eve临渊,今天16:41 来自翔霖周边中转站超话,https://weibo.com/6157650890?refer_flag=1001030103_
#伦敦艺术大学#近日公布2022学年伦敦艺术大学语言班改为全网课模式，13周和9周线下伦敦语言班模式取消。 语言班报名接受的语言考试类型：UKVI类雅思/普通A类雅思；PTE/UKVIPTE；SELTLanguageCertESOL/NoneSELTLanguageCertESOL ；TOEFL；TOEFLHomeSpecialEdition等。#英国留学#​展开c,蓝色调大叔,今天16:40 来自新版微博weibo.com,https://weibo.com/5545792054?refer_flag=1001030103_
Whatotherpeoplethinkofyouisnoneofyourbusiness.-----别人怎么看你，管你什么事？​,我叫武婷婷啊,今天16:32 来自皮皮时光机,https://weibo.com/3870689402?refer_flag=1001030103_
#babechaelle#“IamnoneofthethingsthatyousaidIam.”🥀——rosé朴彩英​,Babechaelle,今天16:25 来自babechaelle超话,https://weibo.com/7527939202?refer_flag=1001030103_
"Istrovewithnone,fornonewasworthmystrife.NatureIloved,nexttoNature,Art.Iwarmedbothhandsbeforethefireoflife.Itsinks,andIamreadytodepart.waltersavagelandor​",选syu天才赞赞man蹦蹦,今天00:39 来自iPhone客户端,https://weibo.com/6850630647?refer_flag=1001030103_
"超脱电影里的人物几乎都对生活充满了无力感，有的在崩溃，有的在崩溃边缘徘徊，男主像机器，对生活毫无渴望与诉求，心理防线极强，女孩的死亡也无法将他从自我空间里挖掘出来，最终也是以一种无力的，封闭的姿态结束。doublethink（双重思想）it'ssoeasytobecareless,ittakescourageand​展开c",沐木牧慕,03月24日21:46 来自OPPOReno5Pro5G,https://weibo.com/7341343757?refer_flag=1001030103_
Afriendtoallisafriendtonone.​,隅隈多有谁知其数,03月24日21:25 来自RedmiK305G先锋,https://weibo.com/6419010365?refer_flag=1001030103_
"《生与死》兰德（英）杨绛（译）Istrovewithnone,fornonewasworthmystrife;NatureIlov’d,，andnexttoNature,Art;Iwarm’dbothhandsbeforethefireoflife;Itsinks,andIamreadytodepart.我和谁都不争，和谁争我都​展开c",长草颜团紫,03月24日20:03 来自iPhone客户端,https://weibo.com/2694774423?refer_flag=1001030103_
其实纸嫁衣2我很意难平的一点是。。。1和3都是甜甜小情侣，但2直接性张力拉满哇。。。怎么可以没过doi少平就死掉了啊！怎么可以嘛现生复婚热恋以后给我do个三天三夜从奘铃村到城市都nonestop好吗​,单而茶就,03月24日19:59 来自华为手机畅享玩不停,https://weibo.com/6919781910?refer_flag=1001030103_
张柏芝Cc👼Lu#Seececistreet#LunchforLucasNonestopbeauty美妈咪为小lu宝贝做的午饭🥣想念你们💕@张柏芝LLucas0802的微博视频​,Lucas0802,03月24日19:28 来自张柏芝超话,https://weibo.com/6331713323?refer_flag=1001030103_
none,奶盖冰沙a,03月24日17:54 来自nova5Pro人像超级夜景,https://weibo.com/7464594881?refer_flag=1001030103_
和数字相关的表达01，fifty-fifty常用的美国口语，adj.&adv.对半（的），利弊各半（的）【例】：Weeattheapplefifty-fifty.我们一人一半吃了这个苹果。02，taketen休息十分钟，小憩【例】：Thecaptainhaltedthecompanyandorderedthemtotaketen.上尉命令队伍停下​展开c,中慧言翻译官方微博,03月24日17:45 来自微博weibo.com,https://weibo.com/7395051246?refer_flag=1001030103_
客订椭圆钻石排戒单颗钻石30分，每颗独立GIA证书，共19颗；顶级参数：D-G色，VVS2-VS2净度，EX-VG切工，None无荧光；美翻了吧！吸睛指数很稳了吧！满圈的天然钻石，360度散发光芒，整圈效果豪华的不得了！上手别说是大气了，就是拿来欣赏，都是美滋滋，最后还得是夸夸自家老师傅的工艺精湛，巧​展开c,YEN_CH,03月24日17:26 来自微博视频号,https://weibo.com/2144014533?refer_flag=1001030103_
Afriendtoallisafriendtonone​,饭饭奥特曼,03月24日17:11 来自iPhone客户端,https://weibo.com/1676645861?refer_flag=1001030103_
Noneofmybusinessagain🙃🙃,ChristyShek,03月24日16:50 来自微博国际版,https://weibo.com/2656867571?refer_flag=1001030103_
objecttherewasnone​,吃饱了撑的去撩星星,03月24日16:45 来自iPhone客户端,https://weibo.com/7297166355?refer_flag=1001030103_
none​,宣布个事我是啥B,03月24日16:41 来自iPhone11Pro,https://weibo.com/6510933315?refer_flag=1001030103_
"那些戳心的句子1、未知全貌，不予置评。2、世人慌慌张张，不过图碎银几两，而这碎银几两，可解这世间万种慌张，保老人万年安康，儿女入得学堂，柴米油盐五谷粮。3、凡是过往，皆为序章。——莎士比亚4、ᴵᶠʸᵒᵘˢʰᵉᵈᵗᵉᵃʳˢʷʰᵉⁿʸᵒᵘᵐⁱᵗʰᵉˢᵘⁿ,ʸᵒᵘᵃ​展开c",是王大小姐啊,03月24日15:06 来自Android客户端,https://weibo.com/5586844762?refer_flag=1001030103_
看masterofnone总有新感悟S3风格也转变的太快了…这次虽然惨但是一定程度上也反过来缓解了我的焦虑37岁还是单身也不失为一种选择.还是尽全力地争取自己想要的吧～​,用户95284926999,03月24日14:23 来自iPhone12ProMax,https://weibo.com/7519075720?refer_flag=1001030103_
前几天的像素人剧情提到《无人生还》，我去翻相册找了找照片…这是阿加莎最爱的一片海滩，说她经常来这里散步。记得当时去的时候，走了很远的路却一直只有我和朋友俩人，安静到慎得慌…看着海浪拍起高高的雪沫——我俩当时最大的感慨是，怪不得她可以写出《无人生还》。确实是ThenThereWereNone?​展开c,卜居小丘,03月24日13:47 来自iPhone客户端,https://weibo.com/6526674771?refer_flag=1001030103_
I'veusedupallmyhumilityinlearninghistoryandthushavenoneleftforartbothwrongthoughbutlookwho'sgonnagetabachelorofartinfour/threeyearswhichonewilliacquirefirstthedegreeorthebalance?​,随意而安安安安安_,03月24日12:31 来自微博国际版,https://weibo.com/6227588450?refer_flag=1001030103_
"每日英语：《104》我说：僵尸先生，我想问一下，104回来了吗？Isaid：Mr.zombie,Iwanttoask,is104back?他说：关我什么事儿？Hesaid：What'snoneofmybusiness?我说：104装修了也有大半年了，人也不见，警察半夜敲门都没人，发生什么事儿了？Isaid：104ithasbeenrenovatedf​展开c",听到一点薇雨,03月24日12:13 来自微博国际版,https://weibo.com/6105096400?refer_flag=1001030103_
@NONE28你想要的答案都在这里答案->O网页链接​,NONE28,03月24日12:08 来自在线求签网qiuqian,https://weibo.com/1770712073?refer_flag=1001030103_
"每日英语：《Redenvelopes》我说：僵尸先生，你知道那一个装修的人家是谁？Isaid：Mr.zombie,doyouknowwhothedecoratoris?他说：不知道。Hesaid：Idon'tknow.我说：首长的亲戚结婚，所以给新房装修，春节错过了吉时，肚子差不多大了，不可以再拖了。Isaid：Thehead'srelative​展开c",听到一点薇雨,03月24日11:52 来自微博国际版,https://weibo.com/6105096400?refer_flag=1001030103_
